,Stress
0,15.0
659,11.0
118,14.0
125,8.0
82,23.0
257,9.0
676,6.0
418,6.0
63,6.0
770,6.0
190,9.0
250,12.0
892,10.0
639,8.0
404,9.0
687,10.0
266,7.0
307,6.0
104,19.0
688,7.0
346,7.0
826,8.0
62,19.0
852,11.0
320,9.0
223,6.0
145,6.0
105,6.0
373,7.0
387,7.0
159,11.0
782,6.0
461,7.0
566,9.0
240,10.0
9,14.0
449,6.0
708,6.0
255,6.0
882,8.0
389,7.0
908,12.0
924,6.0
698,7.0
206,10.0
460,6.0
239,10.0
185,9.0
958,11.0
501,8.0
739,9.0
804,7.0
868,10.0
731,7.0
539,8.0
697,7.0
359,7.0
343,7.0
162,11.0
48,15.0
372,7.0
667,6.0
492,7.0
357,9.0
967,10.0
783,9.0
735,7.0
52,15.0
970,8.0
491,7.0
453,6.0
490,8.0
457,6.0
939,10.0
677,10.0
885,8.0
79,23.0
189,9.0
814,10.0
254,9.0
671,6.0
498,6.0
57,18.0
133,6.0
157,11.0
933,9.0
646,8.0
823,8.0
231,9.0
504,8.0
769,9.0
347,8.0
386,8.0
41,21.0
894,7.0
828,8.0
844,6.0
475,8.0
437,6.0
562,10.0
652,6.0
172,7.0
166,15.0
38,16.0
713,7.0
90,17.0
885,11.0
222,10.0
875,11.0
318,8.0
110,13.0
172,8.0
330,6.0
906,8.0
499,8.0
338,7.0
205,10.0
28,17.0
234,9.0
841,9.0
776,6.0
945,9.0
169,7.0
737,10.0
214,9.0
270,6.0
912,12.0
491,9.0
953,8.0
114,14.0
49,15.0
587,6.0
750,6.0
657,6.0
234,6.0
732,7.0
936,10.0
751,8.0
173,8.0
436,6.0
391,6.0
592,10.0
934,10.0
226,10.0
82,21.0
108,19.0
507,7.0
568,10.0
184,16.0
191,9.0
890,9.0
947,9.0
65,6.0
319,8.0
638,8.0
735,11.0
884,8.0
636,8.0
850,11.0
734,7.0
717,7.0
454,6.0
264,6.0
75,19.0
621,9.0
444,6.0
395,6.0
176,7.0
59,6.0
757,12.0
368,6.0
347,7.0
595,6.0
61,19.0
313,8.0
872,11.0
681,10.0
830,6.0
278,9.0
36,15.0
482,6.0
662,6.0
762,8.0
411,12.0
977,9.0
536,7.0
738,9.0
191,6.0
919,8.0
456,6.0
675,6.0
760,10.0
763,8.0
567,9.0
728,7.0
412,7.0
115,14.0
825,8.0
463,7.0
616,7.0
114,6.0
417,7.0
860,9.0
969,8.0
604,6.0
867,10.0
89,19.0
848,8.0
486,8.0
866,10.0
753,8.0
498,8.0
293,6.0
342,7.0
11,14.0
396,6.0
284,7.0
83,21.0
208,9.0
929,10.0
690,7.0
595,10.0
827,6.0
689,7.0
851,11.0
159,6.0
895,7.0
540,7.0
257,6.0
335,7.0
831,6.0
56,15.0
515,7.0
365,6.0
32,14.0
768,6.0
706,10.0
761,10.0
263,7.0
220,10.0
434,6.0
931,10.0
521,8.0
22,16.0
356,9.0
294,6.0
329,6.0
645,8.0
340,7.0
431,6.0
473,8.0
217,6.0
911,12.0
244,12.0
561,10.0
28,12.0
897,10.0
93,17.0
25,12.0
87,14.0
109,13.0
703,10.0
325,9.0
696,7.0
749,8.0
13,12.0
153,6.0
116,14.0
736,11.0
945,10.0
789,7.0
580,6.0
703,6.0
229,10.0
312,8.0
629,11.0
277,6.0
487,9.0
559,9.0
158,11.0
136,13.0
801,10.0
512,7.0
