tsne_3_f1,tsne_3_f2,tsne_3_f3
-55844.4,7216.0005,88.7375
-31077.25,3286.1545,1784.567
-63670.742,-30166.732,2645.3845
-53538.633,-21499.56,3093.2012
265177.4,8593.461,-10514.682
149796.98,-3344.0554,-19480.861
-29203.125,-18987.63,5190.0273
-55994.992,4160.422,-2199.7827
-61594.223,-18812.643,2091.208
-62438.91,-5119.447,-279.0487
-58638.12,-24019.709,778.26086
-27479.926,-3154.031,-2369.2988
129684.87,-4862.704,-17723.496
46093.395,-7432.2715,1329.2849
176550.69,-4844.7827,-21098.201
58451.95,-12655.521,-14995.928
-63255.965,-26915.168,2549.655
-63240.3,-19141.88,1173.752
-60524.875,21000.893,-2646.6948
103951.98,-4624.5547,-3370.504
158227.55,18527.2,43976.363
-30463.531,-10097.709,-5186.02
49679.406,1814.6172,36529.25
-25596.492,60926.258,-730.2493
89398.11,-5388.7837,-7651.0933
60495.348,-4961.6377,12722.744
-51435.87,7420.0435,2392.9312
53876.12,-7425.365,8674.408
-41798.117,-3354.877,-3376.1323
69674.35,12518.017,-2344.9016
105213.77,-6042.9795,-8121.325
-34344.95,-17561.064,11476.989
-62729.02,-8776.89,-150.02827
41110.19,1117.8912,-3976.5051
62206.98,-10384.503,1749.2546
-60223.215,8539.427,-1653.031
-62808.664,-22164.693,2030.9839
-59218.7,38514.418,-4353.691
120533.48,30204.53,26672.29
-35026.12,-19291.68,6458.6167
164901.67,20774.41,27665.625
-61936.86,1360.7439,-875.19104
-62313.395,-7429.6367,28.971104
49285.504,9573.974,-16264.66
153795.64,8589.033,38648.758
-53790.05,101457.875,-9317.716
54810.96,-5637.493,17032.277
-46186.797,126879.79,-6811.611
-32675.555,18725.756,-8788.626
212831.69,4812.9204,6175.762
-18248.557,-18252.604,-2733.8865
-31989.344,-4948.8164,-4292.2017
51208.043,66236.52,-4881.1064
-61084.43,14862.434,-2281.571
-62373.52,-4599.4805,-227.32236
80906.664,-9923.745,-13005.653
-47610.715,27977.176,-2313.4692
-63410.773,-27397.049,2340.8503
-22464.621,-14482.839,-731.21497
-60965.887,-5519.517,1023.1936
-8343.626,-6166.4507,8760.493
-41550.484,-18324.162,-213.1189
-63519.4,-27506.65,2324.2793
-10012.412,-19927.518,783.51404
161255.5,-7607.625,-43894.156
-59154.133,-13542.551,42.47982
77910.3,-6365.468,9415.368
36464.19,-7201.64,18591.182
-59843.137,1507.7654,-1045.087
-55830.703,51839.633,-4049.7625
-55868.02,-19727.26,681.403
75879.805,20519.387,5912.0337
-42338.367,-8727.806,5083.549
133645.22,-5936.904,-26193.92
125023.65,26224.988,49532.598
21813.672,-11810.404,11948.389
-43536.094,-18304.557,5384.775
151421.92,-8740.244,-39376.473
-61891.453,-15456.877,1833.0283
-53684.48,-16210.081,574.2155
-62533.344,-24466.27,1667.775
-24489.137,-17712.098,8217.575
34816.17,-12643.68,-9492.856
-41580.855,-2843.705,4181.4805
21794.316,8365.195,-14039.502
-39630.156,46058.57,-6096.3823
-60903.617,17918.639,-2627.8862
