patient,rmse,mav,var,energy,mnf,mdf,zc,fr,mav_arr_0,mav_arr_1,mav_arr_2,mav_arr_3,std_0,std_1,std_2,std_3
3.0,0.2590188326553792,0.17123970029912094,0.06709299210322545,2012.7226701046602,216.08921862037903,417.5333333333333,11352.0,1.5139011552189872,0.0472326746902824,0.2660099033251484,0.23470078200395153,0.11762096366531449,0.08915540130997308,0.4942908607954175,0.42307440579108624,0.20410161392112486
3.0,0.24815681071613344,0.18052775945654487,0.061583855499986205,1847.454081144086,211.689481116938,411.93333333333334,11663.0,1.443664470198877,0.05590265045601995,0.26358676209064275,0.25271865998413423,0.11727519809732508,0.09698536049748664,0.4692129321217097,0.4314352474782595,0.1920588627688843
3.0,0.3408662309497889,0.2413992606288886,0.11619366052393229,3485.693622057445,204.82309959573715,417.73333333333335,11450.0,1.5242172171396837,0.08269603499413178,0.38993372959375466,0.3272168955522704,0.14713160830699173,0.14520704363370718,0.6948068171538934,0.5709629439527099,0.24021953151669037
3.0,0.3305045808253159,0.24320880670099695,0.10923691917715701,3276.998338395533,202.1220415023144,419.96666666666664,10639.0,1.5268858897301678,0.08340483018488755,0.41394125699392514,0.32924773283013403,0.140913050108343,0.14409574160718233,0.7176415367187003,0.5529711048119628,0.2308322025786145
3.0,0.2967751631208963,0.21736976937416289,0.08807843339321438,2642.264923363038,204.03683912440817,423.59999999999997,10345.0,1.6049531827542545,0.07041561539968418,0.35568740150323513,0.3084638928098092,0.12353271390269165,0.11885487520002432,0.5986515746912178,0.5216082007965214,0.20943959244637655
3.0,0.3139897863390015,0.20981097972722038,0.0985928723542903,2957.6875777563546,209.38268159785187,420.93333333333334,10971.0,1.5427074582433937,0.062292039949061566,0.3277150897061513,0.2923409561322408,0.1339592511299331,0.11640249612589616,0.5979279811117768,0.5217895367060266,0.2348603874330473
3.0,0.29138633229062894,0.20271785836148812,0.0849088249399495,2547.179839373545,216.5685445222777,415.43333333333334,11643.0,1.4819543576505156,0.054942091837863596,0.29538816797491235,0.2888565756969904,0.13544228112786275,0.09798856269084319,0.538833781809805,0.5031322033891853,0.23315384646819737
3.0,0.2734758391280265,0.20496081162905785,0.07479152763769947,2243.6710376033466,241.7746340364996,390.93333333333334,14661.0,1.2820893764043508,0.06092103429741886,0.2883260355497096,0.2496055022519759,0.17161917023959009,0.10474280309310784,0.49852924291882716,0.4316278824354805,0.2686397187814767
3.0,0.30211922338842295,0.22432810221330426,0.09127906777641635,2738.280754224714,232.51410060888253,398.3666666666667,13456.0,1.3228744467727105,0.06467997612572539,0.3255225671306343,0.28221161758704205,0.17786635918646743,0.10988715618517564,0.5538470972063202,0.484659103903209,0.28773618618537805
3.0,0.31135459915549857,0.23638844218217392,0.09694491791254493,2908.250592458435,221.31915658343254,405.3333333333333,11967.0,1.427852816269137,0.07430314728758812,0.36920867306069133,0.31499701165484334,0.16193691865093673,0.12370121694548036,0.6151009836647823,0.5276066821494437,0.25767501429837225
